icio_sector,trade_elast,source,mapping_quality,note
A01,3.23810291290283,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-3.238, trade_elast = -epsilon_icio"
A03,6.9959568977356,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-6.996, trade_elast = -epsilon_icio"
B06,5.43909311294556,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-5.439, trade_elast = -epsilon_icio"
B07,14.6865234375,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-14.687, trade_elast = -epsilon_icio"
B08,5.24418258666992,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-5.244, trade_elast = -epsilon_icio"
C10T12,4.0947208404541,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-4.095, trade_elast = -epsilon_icio"
C13T15,4.6785774230957,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-4.679, trade_elast = -epsilon_icio"
C16,8.6791353225708,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-8.679, trade_elast = -epsilon_icio"
C17_18,7.9830493927002,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-7.983, trade_elast = -epsilon_icio"
C19,3.63815116882324,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-3.638, trade_elast = -epsilon_icio"
C20,8.10988903045654,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-8.110, trade_elast = -epsilon_icio"
C21,8.54231643676758,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-8.542, trade_elast = -epsilon_icio"
C22,6.8433632850647,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-6.843, trade_elast = -epsilon_icio"
C23,4.79486417770386,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-4.795, trade_elast = -epsilon_icio"
C24A,3.45620679855347,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-3.456, trade_elast = -epsilon_icio"
C24B,14.7777194976807,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-14.778, trade_elast = -epsilon_icio"
C25,4.33130836486816,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-4.331, trade_elast = -epsilon_icio"
C26,5.41991662979126,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-5.420, trade_elast = -epsilon_icio"
C27,4.73951435089111,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-4.740, trade_elast = -epsilon_icio"
C28,4.38794183731079,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-4.388, trade_elast = -epsilon_icio"
C29,8.66469764709473,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-8.665, trade_elast = -epsilon_icio"
C301,5.69997453689575,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-5.700, trade_elast = -epsilon_icio"
C302T309,10.9594783782959,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-10.959, trade_elast = -epsilon_icio"
C31T33,4.57648468017578,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-4.576, trade_elast = -epsilon_icio"
E,1.39817523956299,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-1.398, trade_elast = -epsilon_icio"
F,4.418,ahmad_schreiber_2024,direct,"GTAP cns EOS=5.418, trade_elast = EOS - 1 (construction)"
G,4.194,ahmad_schreiber_2024,direct,"GTAP trd EOS=5.194, trade_elast = EOS - 1 (wholesale/retail trade)"
H49,3.6959999999999997,ahmad_schreiber_2024,direct,"GTAP otp EOS=4.696, trade_elast = EOS - 1 (land transport)"
H50,6.264,ahmad_schreiber_2024,direct,"GTAP wtp EOS=7.264, trade_elast = EOS - 1 (water transport)"
H51,4.534,ahmad_schreiber_2024,direct,"GTAP atp EOS=5.534, trade_elast = EOS - 1 (air transport)"
H52,17.28,ahmad_schreiber_2024,direct,"GTAP whs EOS=18.280, trade_elast = EOS - 1 (warehousing/support activities)"
H53,6.51443672180176,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-6.514, trade_elast = -epsilon_icio"
I,6.371,ahmad_schreiber_2024,direct,"GTAP afs EOS=7.371, trade_elast = EOS - 1 (accommodation/food services)"
J58T60,7.10623550415039,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-7.106, trade_elast = -epsilon_icio"
J61,1.9140000000000001,ahmad_schreiber_2024,approximate,"GTAP cmn EOS=2.914, trade_elast = EOS - 1 (GTAP cmn is one broad ICT bucket duplicated across ICIO J61/J62_63)"
J62_63,1.9140000000000001,ahmad_schreiber_2024,approximate,"GTAP cmn EOS=2.914, trade_elast = EOS - 1 (GTAP cmn is one broad ICT bucket duplicated across ICIO J61/J62_63)"
K,3.7135,ahmad_schreiber_2024,approximate,"GTAP ins+ofi EOS=4.713, trade_elast = EOS - 1 (ICIO K combines insurance+banking, GTAP splits them -- averaged)"
L,0.6839999999999999,ahmad_schreiber_2024,direct,"GTAP rsa EOS=1.684, trade_elast = EOS - 1 (real estate)"
M,5.8963508605957,fontagne_guimbard_orefice_2022,direct,"epsilon_icio=-5.896, trade_elast = -epsilon_icio"
N,3.827,ahmad_schreiber_2024,approximate,"GTAP obs EOS=4.827, trade_elast = EOS - 1 (GTAP obs (NAICS 561 admin/support closest) used for N, not M (Fontagne covers M directly))"
P,7.15,ahmad_schreiber_2024,direct,"GTAP edu EOS=8.150, trade_elast = EOS - 1 (education)"
Q,8.691,ahmad_schreiber_2024,direct,"GTAP hht EOS=9.691, trade_elast = EOS - 1 (human health/social work)"
R,4.843,ahmad_schreiber_2024,approximate,"GTAP ros EOS=5.843, trade_elast = EOS - 1 (GTAP ros used for both ICIO R and S)"
S,4.843,ahmad_schreiber_2024,approximate,"GTAP ros EOS=5.843, trade_elast = EOS - 1 (GTAP ros used for both ICIO R and S; weaker match for S specifically)"
