"","icio2025","sector_name","epsilon_icio","epsilon_icio_final","epsilon_icio_intermediate"
"1","A01","agriculture_hunting",-3.23810291290283,-3.87573480606079,-2.36366176605225
"2","A02","forestry_logging",NA,NA,NA
"3","A03","fishing_aquaculture",-6.9959568977356,-6.428626537323,-5.27352237701416
"4","B05","mining",NA,NA,NA
"5","B06","crude_petrol_gas",-5.43909311294556,NA,-5.43909311294556
"6","B07","mining_metal_ores",-14.6865234375,NA,-14.6865234375
"7","B08","other_mining",-5.24418258666992,NA,-5.24418258666992
"8","C10T12","manuf_food_bev_tob",-4.0947208404541,-4.28335905075073,-3.5052924156189
"9","C13T15","textiles_apparel_leather",-4.6785774230957,-4.53222417831421,-6.28795862197876
"10","C16","wood_products",-8.6791353225708,-3.82905530929565,-8.99705219268799
"11","C17_18","paper_printing",-7.9830493927002,-8.54529094696045,-7.38649368286133
"12","C19","coke_refined_petrol",-3.63815116882324,-5.36607980728149,-2.80372142791748
"13","C20","chemical_prod",-8.10988903045654,-9.15016651153564,-7.69927883148193
"14","C21","pharmaceutical_prod",-8.54231643676758,-19.3635501861572,-6.54715347290039
"15","C22","rubber_plast_prod",-6.8433632850647,-3.8355131149292,-7.41068077087402
"16","C23","non_metall_mineral_prod",-4.79486417770386,-2.02032232284546,-6.58224534988403
"17","C24A","iron_steel",-3.45620679855347,NA,-3.45620679855347
"18","C24B","non_ferrrous_metals",-14.7777194976807,-19.3640022277832,-14.7691745758057
"19","C25","metal_prod",-4.33130836486816,-4.19701099395752,-4.37411689758301
"20","C26","computer_electronic_optic",-5.41991662979126,-4.32336330413818,-8.09873962402344
"21","C27","electrical_eqt",-4.73951435089111,-5.60511159896851,-4.16411685943604
"22","C28","machinery_nec",-4.38794183731079,-5.09930515289307,-3.31819438934326
"23","C29","motor_vh",-8.66469764709473,-10.2305116653442,-6.16999340057373
"24","C301","ships",-5.69997453689575,-5.69997453689575,NA
"25","C302T309","other_transp_eqt",-10.9594783782959,-10.9340858459473,-11.6505641937256
"26","C31T33","furniture",-4.57648468017578,-4.65151262283325,-4.63605546951294
"27","D","electricity_gas",NA,NA,NA
"28","E","water_waste",-1.39817523956299,NA,-1.39817523956299
"29","H53","postal",-6.51443672180176,-6.51443672180176,NA
"30","J58T60","publish_broadcasting",-7.10623550415039,-7.03044128417969,-6.69443464279175
"31","M","prof_activities",-5.8963508605957,NA,-5.8963508605957
"32","R","recreational",NA,NA,NA
